datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
PalombaEtAl_apache-qpid,0.8,271,1895,54,379,217,1516,0.347556606,1.43722574,0.000829328,0.016397374,1,0.004147465,0.875302943,0.004147465,1,0.9,0,216.1,1516,1,0,0.12476185,0.87523815
PalombaEtAl_apache-qpid,0.5,271,1895,135.3,947.7,135.7,947.3,0.869110114,0.941024948,0.000868906,0.132609421,0.927857143,0.072238562,0.882825485,0.072218128,0.998944368,9.8,1,125.9,946.3,0.907407407,0.092592593,0.117422123,0.882577877
PalombaEtAl_apache-qpid,0.4,271,1895,163,1136,108,759,1.042427545,0.764029082,0.000881233,0.171210839,0.990909091,0.094444444,0.887081892,0.094444444,0.999868248,10.2,0.1,97.8,758.9,0.990291262,0.009708738,0.114158982,0.885841018
PalombaEtAl_apache-qpid,0.65,271,1895,95,663,176,1232,0.608366504,1.195686939,0.000849209,0.043979995,1,0.018181818,0.877272727,0.018181818,1,3.2,0,172.8,1232,1,0,0.123006834,0.876993166
PalombaEtAl_apache-qpid,0.6,271,1895,108,758,163,1137,0.695146622,1.112620068,0.000855862,0.040846275,0.961111111,0.019018405,0.876846154,0.019018405,0.999824099,3.1,0.2,159.9,1136.8,0.939393939,0.060606061,0.123313025,0.876686975
PalombaEtAl_apache-qpid,0.7,271,1895,81,568,190,1327,0.520935126,1.276082706,0.000841188,0.024853564,0.857142857,0.008947368,0.875807515,0.008947368,0.999924642,1.7,0.1,188.3,1326.9,0.944444444,0.055555556,0.124274023,0.875725977
PalombaEtAl_apache-qpid,0.3,271,1895,190,1326,81,569,1.217845261,0.587946529,0.000904533,0.265648655,0.991666667,0.154320988,0.894461538,0.154320988,0.999824253,12.5,0.1,68.5,568.9,0.992063492,0.007936508,0.107467838,0.892532162
PalombaEtAl_apache-qpid,0.2,271,1895,217,1515,54,380,1.390633255,0.422060096,0.000972489,0.278756836,0.947460317,0.166666667,0.894930876,0.166666667,0.998421053,9,0.6,45,379.4,0.9375,0.0625,0.106032045,0.893967955
PalombaEtAl_apache-qpid,0.75,271,1895,68,473,203,1422,0.434176796,1.358129003,0.000835772,0.024148654,0.833333333,0.007389163,0.875938462,0.007389163,0.999929677,1.5,0.1,201.5,1421.9,0.9375,0.0625,0.124122213,0.875877787
PalombaEtAl_apache-qpid,0.1,271,1895,244,1705,27,190,1.563648449,0.212116023,0.000977493,0.279729909,0.898095238,0.17037037,0.893548387,0.17037037,0.996315789,4.6,0.7,22.4,189.3,0.867924528,0.132075472,0.105810109,0.894189891
PalombaEtAl_apache-qpid,0.15,271,1895,230,1611,41,284,1.478291716,0.314926013,0.000969003,0.306370398,0.937460317,0.185365854,0.895384615,0.185365854,0.997887324,7.6,0.6,33.4,283.4,0.926829268,0.073170732,0.105429293,0.894570707
PalombaEtAl_apache-wicket,0.6,216,1866,86,746,130,1120,0.377601282,0.634196325,0.000507357,0,0,0,0.89592,0,0.999910714,0,0.1,130,1119.9,0,1,0.104008321,0.895991679
PalombaEtAl_apache-wicket,0.95,216,1866,11,93,205,1773,0.047556864,0.91963388,0.000464931,-,-,0,0.89635996,0,1,0,0,205,1773,-,-,-,-
PalombaEtAl_apache-wicket,0.7,216,1866,65,559,151,1307,0.284100731,0.739781118,0.000507394,-,-,0,0.896433471,0,1,0,0,151,1307,-,-,-,-
PalombaEtAl_apache-wicket,0.5,216,1866,108,933,108,933,0.472678915,0.540140047,0.000518867,0.012121212,0.333333333,0.001851852,0.896253602,0.001851852,0.999785638,0.2,0.2,107.8,932.8,0.5,0.5,0.10359408,0.89640592
PalombaEtAl_apache-wicket,0.55,216,1866,97,839,119,1027,0.424640924,0.585674791,0.00051106,0.011065197,0.5,0.001680672,0.896160558,0.001680672,0.999805258,0.2,0.2,118.8,1026.8,0.5,0.5,0.103701117,0.896298883
PalombaEtAl_apache-wicket,0.4,216,1866,130,1119,86,747,0.566903547,0.443964211,0.00053297,0.042423582,0.895833333,0.01744186,0.898319328,0.01744186,0.999732262,1.5,0.2,84.5,746.8,0.882352941,0.117647059,0.101648021,0.898351979
PalombaEtAl_apache-wicket,0.45,216,1866,119,1026,97,840,0.520014312,0.494806135,0.000528075,0.013502371,0.416666667,0.004123711,0.896478122,0.004123711,0.99952381,0.4,0.4,96.6,839.6,0.5,0.5,0.103183081,0.896816919
PalombaEtAl_apache-wicket,0.1,216,1866,194,1679,22,187,0.849459011,0.12392435,0.000592939,0.116847826,1,0.05,0.9,0.05,1,1.1,0,20.9,187,1,0,0.100529101,0.899470899
PalombaEtAl_apache-wicket,0.3,216,1866,151,1306,65,560,0.660974252,0.345777644,0.000553244,0.044837643,0.9375,0.018461538,0.89776,0.018461538,0.999821429,1.2,0.1,63.8,559.9,0.923076923,0.076923077,0.102292769,0.897707231
