datasetName,testSetSize,totNumFlaky,totNumNonFlaky,numFlakyTrain,numNonFlakyTrain,numFlakyTest,numNonFlakyTest,totTrainTime,totTestTime,avgTestTime,f1Score,Precision,Recall,Accuracy,Sensitivity,Specificity,tp,fp,fn,tn,tp_norm,fp_norm,fn_norm,tn_norm
PalombaEtAl_apache-hive,0.75,106,541,26,135,80,406,0.143594667,0.438546042,0.000902358,0.504189118,0.799754117,0.37125,0.880246914,0.37125,0.980541872,29.7,7.9,50.3,398.1,0.789893617,0.210106383,0.112176628,0.887823372
PalombaEtAl_apache-hive,0.65,106,541,37,189,69,352,0.20184386,0.387115786,0.000919515,0.562780037,0.804880287,0.437681159,0.889311164,0.437681159,0.977840909,30.2,7.8,38.8,344.2,0.794736842,0.205263158,0.101305483,0.898694517
PalombaEtAl_apache-hive,0.55,106,541,48,243,58,298,0.259312775,0.32463047,0.000911883,0.633053872,0.835358393,0.510344828,0.903932584,0.510344828,0.980536913,29.6,5.8,28.4,292.2,0.836158192,0.163841808,0.088583905,0.911416095
PalombaEtAl_apache-hive,0.95,106,541,5,27,101,514,0.029288903,0.556830368,0.000905415,0.136951075,0.5513943,0.094059406,0.832357724,0.094059406,0.977431907,9.5,11.6,91.5,502.4,0.450236967,0.549763033,0.154066341,0.845933659
PalombaEtAl_apache-hive,0.85,106,541,16,81,90,460,0.086738294,0.49474469,0.000899536,0.366981404,0.704776531,0.254444444,0.858545455,0.254444444,0.97673913,22.9,10.7,67.1,449.3,0.681547619,0.318452381,0.129938033,0.870061967
PalombaEtAl_apache-hive,0.45,106,541,58,297,48,244,0.31593625,0.267501141,0.0009161,0.661828895,0.840632107,0.547916667,0.908219178,0.547916667,0.979098361,26.3,5.1,21.7,238.9,0.837579618,0.162420382,0.083269378,0.916730622
PalombaEtAl_apache-hive,0.1,106,541,95,487,11,54,0.517735239,0.062646071,0.000963786,0.819699248,0.900277778,0.754545455,0.944615385,0.754545455,0.983333333,8.3,0.9,2.7,53.1,0.902173913,0.097826087,0.048387097,0.951612903
PalombaEtAl_apache-hive,0.35,106,541,69,351,37,190,0.373961036,0.210054021,0.000925348,0.699758015,0.856222278,0.594594595,0.917180617,0.594594595,0.98,22,3.8,15,186.2,0.852713178,0.147286822,0.074552684,0.925447316
PalombaEtAl_apache-hive,0.3,106,541,74,378,32,163,0.402253912,0.181447455,0.0009305,0.735773745,0.88819887,0.63125,0.926153846,0.63125,0.98404908,20.2,2.6,11.8,160.4,0.885964912,0.114035088,0.068524971,0.931475029
PalombaEtAl_apache-hive,0.2,106,541,85,432,21,109,0.460084251,0.122567584,0.000942828,0.70541429,0.873029028,0.604761905,0.922307692,0.604761905,0.983486239,12.7,1.8,8.3,107.2,0.875862069,0.124137931,0.071861472,0.928138528
PalombaEtAl_apache-hive,0.6,106,541,42,216,64,325,0.229822714,0.353812795,0.000909544,0.610607065,0.824769673,0.4875,0.898200514,0.4875,0.979076923,31.2,6.8,32.8,318.2,0.821052632,0.178947368,0.093447293,0.906552707
PalombaEtAl_apache-hive,0.7,106,541,32,162,74,379,0.173008019,0.411714988,0.000908863,0.57299461,0.822243213,0.441891892,0.892935982,0.441891892,0.981002639,32.7,7.2,41.3,371.8,0.819548872,0.180451128,0.099975793,0.900024207
PalombaEtAl_apache-hive,0.25,106,541,79,406,27,135,0.43175412,0.15101958,0.00093222,0.708448802,0.857925001,0.607407407,0.917283951,0.607407407,0.979259259,16.4,2.8,10.6,132.2,0.854166667,0.145833333,0.074229692,0.925770308
PalombaEtAl_apache-hive,0.5,106,541,53,270,53,271,0.287861928,0.297183104,0.000917232,0.652950637,0.82438394,0.543396226,0.90617284,0.543396226,0.977121771,28.8,6.2,24.2,264.8,0.822857143,0.177142857,0.083737024,0.916262976
PalombaEtAl_apache-hive,0.4,106,541,64,324,42,217,0.345592072,0.238520986,0.00092093,0.669851049,0.84080038,0.55952381,0.911196911,0.55952381,0.979262673,23.5,4.5,18.5,212.5,0.839285714,0.160714286,0.08008658,0.91991342
PalombaEtAl_apache-karaf,0.15,120,265,102,225,18,40,0.196303809,0.038206974,0.000658741,0.819808048,0.900277778,0.761111111,0.898275862,0.761111111,0.96,13.7,1.6,4.3,38.4,0.895424837,0.104575163,0.100702576,0.899297424
PalombaEtAl_apache-karaf,0.9,120,265,12,26,108,239,0.023179525,0.210622735,0.000606982,0.473167823,0.663440378,0.387037037,0.742651297,0.387037037,0.90334728,41.8,23.1,66.2,215.9,0.644067797,0.355932203,0.234668557,0.765331443
PalombaEtAl_apache-karaf,0.65,120,265,42,92,78,173,0.080609545,0.153729135,0.000612467,0.731797583,0.800649106,0.676923077,0.845816733,0.676923077,0.921965318,52.8,13.5,25.2,159.5,0.79638009,0.20361991,0.136437466,0.863562534
PalombaEtAl_apache-karaf,0.8,120,265,24,53,96,212,0.046561569,0.187555605,0.000608947,0.626205914,0.759624915,0.547916667,0.799350649,0.547916667,0.913207547,52.6,18.4,43.4,193.6,0.74084507,0.25915493,0.183122363,0.816877637
PalombaEtAl_apache-karaf,0.75,120,265,30,66,90,199,0.05789246,0.176183494,0.000609631,0.676735468,0.791573713,0.6,0.821799308,0.6,0.922110553,54,15.5,36,183.5,0.776978417,0.223021583,0.164009112,0.835990888
PalombaEtAl_apache-karaf,0.45,120,265,66,145,54,120,0.126723682,0.107801627,0.00061955,0.804022779,0.888171473,0.735185185,0.888505747,0.735185185,0.9575,39.7,5.1,14.3,114.9,0.886160714,0.113839286,0.110681115,0.889318885
PalombaEtAl_apache-karaf,0.1,120,265,108,238,12,27,0.207636773,0.026167959,0.000670973,0.835298325,0.929574592,0.766666667,0.907692308,0.766666667,0.97037037,9.2,0.8,2.8,26.2,0.92,0.08,0.096551724,0.903448276
PalombaEtAl_apache-karaf,0.3,120,265,84,185,36,80,0.161651367,0.073409112,0.000632837,0.816061033,0.874953098,0.766666667,0.893103448,0.766666667,0.95,27.6,4,8.4,76,0.873417722,0.126582278,0.099526066,0.900473934
PalombaEtAl_apache-karaf,0.85,120,265,18,39,102,226,0.034517516,0.199356052,0.000607793,0.583151291,0.691506809,0.508823529,0.775,0.508823529,0.895132743,51.9,23.7,50.1,202.3,0.686507937,0.313492063,0.198494453,0.801505547
PalombaEtAl_apache-karaf,0.2,120,265,96,212,24,53,0.18500102,0.049759776,0.000646231,0.793591053,0.88872114,0.720833333,0.883116883,0.720833333,0.956603774,17.3,2.3,6.7,50.7,0.882653061,0.117346939,0.116724739,0.883275261
PalombaEtAl_apache-karaf,0.6,120,265,48,106,72,159,0.092721856,0.141751393,0.000613642,0.760155288,0.846697178,0.694444444,0.863636364,0.694444444,0.940251572,50,9.5,22,149.5,0.840336134,0.159663866,0.128279883,0.871720117
PalombaEtAl_apache-karaf,0.95,120,265,6,13,114,252,0.011872532,0.22172211,0.000605798,0.359838,0.661986859,0.256140351,0.724590164,0.256140351,0.936507937,29.2,16,84.8,236,0.646017699,0.353982301,0.264339152,0.735660848
PalombaEtAl_apache-karaf,0.7,120,265,36,79,84,186,0.069272549,0.164937942,0.000610881,0.685694608,0.780276599,0.620238095,0.824814815,0.620238095,0.917204301,52.1,15.4,31.9,170.6,0.771851852,0.228148148,0.157530864,0.842469136
PalombaEtAl_apache-karaf,0.5,120,265,60,132,60,133,0.115522323,0.119222659,0.000617734,0.772637493,0.858093285,0.705,0.870984456,0.705,0.945864662,42.3,7.2,17.7,125.8,0.854545455,0.145454545,0.123344948,0.876655052
PalombaEtAl_apache-karaf,0.55,120,265,54,119,66,146,0.10407273,0.130765311,0.000616818,0.765488499,0.847958603,0.7,0.866981132,0.7,0.942465753,46.2,8.4,19.8,137.6,0.846153846,0.153846154,0.125794155,0.874205845
PalombaEtAl_apache-karaf,0.4,120,265,72,159,48,106,0.138843494,0.096193274,0.000624632,0.808888112,0.864944083,0.7625,0.888311688,0.7625,0.945283019,36.6,5.8,11.4,100.2,0.863207547,0.136792453,0.102150538,0.897849462
PalombaEtAl_apache-karaf,0.25,120,265,90,198,30,67,0.172900775,0.061762247,0.000636724,0.843705182,0.903952995,0.793333333,0.909278351,0.793333333,0.96119403,23.8,2.6,6.2,64.4,0.901515152,0.098484848,0.087818697,0.912181303
PalombaEtAl_apache-karaf,0.35,120,265,78,172,42,93,0.150337319,0.084672018,0.0006272,0.806071453,0.883298418,0.742857143,0.888888889,0.742857143,0.95483871,31.2,4.2,10.8,88.8,0.881355932,0.118644068,0.108433735,0.891566265
PalombaEtAl_apache-nutch,0.1,184,73,165,66,19,7,0.198092505,0.029435062,0.001132118,0.889495432,0.85724811,0.926315789,0.830769231,0.926315789,0.571428571,17.6,3,1.4,4,0.854368932,0.145631068,0.259259259,0.740740741
PalombaEtAl_apache-nutch,0.3,184,73,128,51,56,22,0.152632723,0.06844562,0.000877508,0.899336775,0.861694244,0.941071429,0.848717949,0.941071429,0.613636364,52.7,8.5,3.3,13.5,0.861111111,0.138888889,0.196428571,0.803571429
PalombaEtAl_apache-nutch,0.35,184,73,120,47,64,26,0.142465242,0.078817811,0.000875753,0.892409956,0.856176897,0.9328125,0.84,0.9328125,0.611538462,59.7,10.1,4.3,15.9,0.85530086,0.14469914,0.212871287,0.787128713
PalombaEtAl_apache-nutch,0.2,184,73,147,58,37,15,0.174849006,0.046543291,0.000895063,0.9054299,0.86959621,0.945945946,0.859615385,0.945945946,0.646666667,35,5.3,2,9.7,0.868486352,0.131513648,0.170940171,0.829059829
PalombaEtAl_apache-nutch,0.6,184,73,73,29,111,44,0.087162727,0.134172142,0.000865627,0.873861341,0.832357657,0.920720721,0.809677419,0.920720721,0.529545455,102.2,20.7,8.8,23.3,0.831570382,0.168429618,0.274143302,0.725856698
PalombaEtAl_apache-nutch,0.25,184,73,137,55,47,18,0.163801236,0.057588435,0.000885976,0.90399339,0.871006957,0.940425532,0.855384615,0.940425532,0.633333333,44.2,6.6,2.8,11.4,0.87007874,0.12992126,0.197183099,0.802816901
PalombaEtAl_apache-nutch,0.7,184,73,55,22,129,51,0.065888394,0.155431757,0.00086351,0.883038761,0.836216175,0.935658915,0.822222222,0.935658915,0.535294118,120.7,23.7,8.3,27.3,0.835872576,0.164127424,0.233146067,0.766853933
PalombaEtAl_apache-nutch,0.5,184,73,92,36,92,37,0.10996237,0.114121434,0.000884662,0.876684681,0.840696675,0.916304348,0.81627907,0.916304348,0.567567568,84.3,16,7.7,21,0.840478564,0.159521436,0.268292683,0.731707317
PalombaEtAl_apache-nutch,0.4,184,73,110,44,74,29,0.131413911,0.08988199,0.000872641,0.885430738,0.850776686,0.924324324,0.82815534,0.924324324,0.582758621,68.4,12.1,5.6,16.9,0.849689441,0.150310559,0.248888889,0.751111111
PalombaEtAl_apache-nutch,0.55,184,73,82,33,102,40,0.098246255,0.123239358,0.000867883,0.877855164,0.839638632,0.920588235,0.816197183,0.920588235,0.55,93.9,18,8.1,22,0.839142091,0.160857909,0.26910299,0.73089701
PalombaEtAl_apache-nutch,0.95,184,73,9,3,175,70,0.011067724,0.213153385,0.000870014,0.838695414,0.726899497,0.991428571,0.727346939,0.991428571,0.067142857,173.5,65.3,1.5,4.7,0.726549414,0.273450586,0.241935484,0.758064516
PalombaEtAl_apache-nutch,0.85,184,73,27,11,157,62,0.032766367,0.18843741,0.000860445,0.868641075,0.819448158,0.924840764,0.799543379,0.924840764,0.482258065,145.2,32.1,11.8,29.9,0.818950931,0.181049069,0.282973621,0.717026379
PalombaEtAl_apache-nutch,0.45,184,73,101,40,83,33,0.121001138,0.102674177,0.000885122,0.887851971,0.84713936,0.93373494,0.831034483,0.93373494,0.572727273,77.5,14.1,5.5,18.9,0.846069869,0.153930131,0.225409836,0.774590164
PalombaEtAl_apache-nutch,0.75,184,73,46,18,138,55,0.054917292,0.166434537,0.000862355,0.875052362,0.825570056,0.931884058,0.810362694,0.931884058,0.505454545,128.6,27.2,9.4,27.8,0.825417202,0.174582798,0.252688172,0.747311828
PalombaEtAl_apache-nutch,0.65,184,73,64,25,120,48,0.076081787,0.145216871,0.000864386,0.872978201,0.829678147,0.921666667,0.808333333,0.921666667,0.525,110.6,22.8,9.4,25.2,0.829085457,0.170914543,0.271676301,0.728323699
PalombaEtAl_apache-nutch,0.9,184,73,18,7,166,66,0.022462389,0.203802501,0.000878459,0.855902738,0.7876158,0.940361446,0.773275862,0.940361446,0.353030303,156.1,42.7,9.9,23.3,0.785211268,0.214788732,0.298192771,0.701807229
PalombaEtAl_apache-nutch,0.8,184,73,37,14,147,59,0.043905391,0.177643137,0.000862345,0.872552641,0.820498815,0.932653061,0.805825243,0.932653061,0.489830508,137.1,30.1,9.9,28.9,0.819976077,0.180023923,0.255154639,0.744845361
PalombaEtAl_apache-nutch,0.15,184,73,156,62,28,11,0.185928486,0.035600557,0.000912835,0.879303636,0.840224418,0.925,0.817948718,0.925,0.545454545,25.9,5,2.1,6,0.838187702,0.161812298,0.259259259,0.740740741
PalombaEtAl_apache-pig,0.15,1268,3528,1078,2998,190,530,2.323126961,0.650760025,0.000903833,0.860569482,0.873529216,0.848421053,0.9275,0.848421053,0.955849057,161.2,23.4,28.8,506.6,0.873239437,0.126760563,0.053791558,0.946208442
PalombaEtAl_apache-pig,0.75,1268,3528,317,882,951,2646,0.683394801,2.296705185,0.000638506,0.779990823,0.828185644,0.737329127,0.890075063,0.737329127,0.944973545,701.2,145.6,249.8,2500.4,0.828058573,0.171941427,0.090829758,0.909170242
PalombaEtAl_apache-pig,0.8,1268,3528,254,705,1014,2823,0.546826573,2.403798224,0.000626479,0.746091376,0.791127311,0.706410256,0.873077925,0.706410256,0.932943677,716.3,189.3,297.7,2633.7,0.790967314,0.209032686,0.101555571,0.898444429
PalombaEtAl_apache-pig,0.65,1268,3528,444,1234,824,2294,0.956189553,2.080488076,0.000667251,0.79890457,0.835859824,0.765291262,0.898171905,0.765291262,0.945902354,630.6,124.1,193.4,2169.9,0.8355638,0.1644362,0.081834723,0.918165277
PalombaEtAl_apache-pig,0.9,1268,3528,127,352,1141,3176,0.273313385,2.597366372,0.00060166,0.656482077,0.743931749,0.587730061,0.837595552,0.587730061,0.927361461,670.6,230.7,470.4,2945.3,0.744036392,0.255963608,0.137717013,0.862282987
PalombaEtAl_apache-pig,0.7,1268,3528,380,1058,888,2470,0.820470678,2.25513263,0.00067157,0.789193599,0.829139891,0.753265766,0.893597379,0.753265766,0.944048583,668.9,138.2,219.1,2331.8,0.828769669,0.171230331,0.085891254,0.914108746
PalombaEtAl_apache-pig,0.95,1268,3528,63,176,1205,3352,0.136765908,2.706626996,0.000593949,0.550593436,0.68246195,0.464979253,0.799714725,0.464979253,0.920047733,560.3,268,644.7,3084,0.676445732,0.323554268,0.172902084,0.827097916
PalombaEtAl_apache-pig,0.6,1268,3528,507,1411,761,2117,1.092501417,1.947856147,0.000676809,0.812547709,0.849181453,0.779500657,0.905038221,0.779500657,0.950165328,593.2,105.5,167.8,2011.5,0.849005296,0.150994704,0.076997201,0.923002799
PalombaEtAl_apache-pig,0.4,1268,3528,761,2116,507,1412,1.640525267,1.459014555,0.000760299,0.84142545,0.872365391,0.812820513,0.919020323,0.812820513,0.957152975,412.1,60.5,94.9,1351.5,0.871984765,0.128015235,0.065611173,0.934388827
PalombaEtAl_apache-pig,0.55,1268,3528,571,1587,697,1941,1.229240453,1.820813773,0.000690225,0.821896889,0.850702044,0.795121951,0.908946171,0.795121951,0.949819681,554.2,97.4,142.8,1843.6,0.850521793,0.149478207,0.071888844,0.928111156
PalombaEtAl_apache-pig,0.5,1268,3528,634,1764,634,1764,1.370046872,1.866922639,0.000778533,0.828235993,0.86323018,0.796529968,0.912718932,0.796529968,0.954478458,505,80.3,129,1683.7,0.862805399,0.137194601,0.071164561,0.928835439
PalombaEtAl_apache-pig,0.1,1268,3528,1141,3175,127,353,2.45905056,0.445798694,0.000928747,0.868796354,0.884209304,0.85511811,0.931875,0.85511811,0.959490085,108.6,14.3,18.4,338.7,0.88364524,0.11635476,0.051526183,0.948473817
PalombaEtAl_apache-pig,0.45,1268,3528,697,1940,571,1588,1.50548678,1.744396561,0.000807965,0.83187604,0.867582802,0.799299475,0.914590088,0.799299475,0.95604534,456.4,69.8,114.6,1518.2,0.867350817,0.132649183,0.070186183,0.929813817
PalombaEtAl_apache-pig,0.2,1268,3528,1014,2822,254,706,2.186400211,0.818062504,0.000852148,0.847944631,0.870932707,0.826771654,0.921666667,0.826771654,0.955807365,210,31.2,44,674.8,0.870646766,0.129353234,0.061213133,0.938786867
PalombaEtAl_apache-pig,0.85,1268,3528,190,529,1078,2999,0.409924522,2.4940875,0.000611746,0.716146107,0.774982642,0.666975881,0.860363012,0.666975881,0.929876626,719,210.3,359,2788.7,0.773700635,0.226299365,0.11405153,0.88594847
PalombaEtAl_apache-pig,0.3,1268,3528,888,2469,380,1059,1.914952004,1.228374215,0.00085363,0.849597289,0.877586679,0.823947368,0.923002085,0.823947368,0.958545798,313.1,43.9,66.9,1015.1,0.877030812,0.122969188,0.061829945,0.938170055
PalombaEtAl_apache-pig,0.35,1268,3528,824,2293,444,1235,1.776478745,1.328388408,0.000791178,0.850741599,0.882225668,0.821846847,0.923704586,0.821846847,0.960323887,364.9,49,79.1,1186,0.881613916,0.118386084,0.062524702,0.937475298
